id,key,self,resolutiondate,created,resolutiontime,timespent,commentlength
'13285717', 'JENA-1842', 'https://issues.apache.org/jira/rest/api/2/issue/13285717',2020-02-17T17:00:13.000+0000, '2020-02-17T09:00:13.000+0000',0.3333333333333333,1200,310
'13236871', 'NIFIREG-276', 'https://issues.apache.org/jira/rest/api/2/issue/13236871',2019-05-31T17:31:05.000+0000, '2019-05-31T14:19:05.000+0000',0.13333333333333333,2400,834
'13258545', 'JUNEAU-158', 'https://issues.apache.org/jira/rest/api/2/issue/13258545',2019-09-27T03:17:06.000+0000, '2019-09-24T12:53:06.000+0000',2.6,2400,685
'13426456', 'JAMES-3712', 'https://issues.apache.org/jira/rest/api/2/issue/13426456',2022-02-03T21:56:50.000+0000, '2022-02-03T15:32:50.000+0000',0.26666666666666666,600,1057
'13063347', 'ASTERIXDB-1881', 'https://issues.apache.org/jira/rest/api/2/issue/13063347',2017-04-13T16:00:10.000+0000, '2017-04-12T00:00:10.000+0000',1.6666666666666667,3600,331
'13289363', 'YUNIKORN-9', 'https://issues.apache.org/jira/rest/api/2/issue/13289363',2020-03-04T01:21:49.000+0000, '2020-03-04T01:21:49.000+0000',0.0,600,882
'13380459', 'MAPREDUCE-7348', 'https://issues.apache.org/jira/rest/api/2/issue/13380459',2021-05-26T04:27:04.000+0000, '2021-05-26T04:27:04.000+0000',0.0,2400,1435
'13309043', 'SLING-9498', 'https://issues.apache.org/jira/rest/api/2/issue/13309043',2020-06-02T23:57:34.000+0000, '2020-06-02T20:45:34.000+0000',0.13333333333333333,3600,1641
'13229930', 'MRESOLVER-88', 'https://issues.apache.org/jira/rest/api/2/issue/13229930',2019-04-27T16:07:33.000+0000, '2019-04-24T17:43:33.000+0000',2.933333333333333,1200,192
'13244099', 'BCEL-323', 'https://issues.apache.org/jira/rest/api/2/issue/13244099',2019-07-10T12:38:12.000+0000, '2019-07-10T12:38:12.000+0000',0.0,1200,3278
'13177694', 'DATAFU-148', 'https://issues.apache.org/jira/rest/api/2/issue/13177694',2018-08-31T10:01:47.000+0000, '2018-08-08T14:49:47.000+0000',22.8,2400,80
'13222920', 'UIMA-6012', 'https://issues.apache.org/jira/rest/api/2/issue/13222920',2019-03-20T18:53:28.000+0000, '2019-03-20T18:53:28.000+0000',0.0,1200,1118
'13299347', 'AXIOM-502', 'https://issues.apache.org/jira/rest/api/2/issue/13299347',2020-04-18T08:47:14.000+0000, '2020-04-18T08:47:14.000+0000',0.0,1200,801
'13246099', 'NUMBERS-132', 'https://issues.apache.org/jira/rest/api/2/issue/13246099',2019-07-21T06:24:06.000+0000, '2019-07-20T00:00:06.000+0000',1.2666666666666666,1800,832
'13318494', 'WW-5084', 'https://issues.apache.org/jira/rest/api/2/issue/13318494',2020-08-01T13:17:21.000+0000, '2020-07-21T13:17:21.000+0000',11.0,18600,801
'13167963', 'CB-14166', 'https://issues.apache.org/jira/rest/api/2/issue/13167963',2018-07-12T17:50:14.000+0000, '2018-06-25T05:02:14.000+0000',17.533333333333335,600,633
'13282893', 'LUCENE-9201', 'https://issues.apache.org/jira/rest/api/2/issue/13282893',2020-02-09T03:43:46.000+0000, '2020-02-03T03:43:46.000+0000',6.0,16200,208
'13154700', 'VFS-662', 'https://issues.apache.org/jira/rest/api/2/issue/13154700',2018-05-18T21:20:55.000+0000, '2018-04-24T05:20:55.000+0000',24.666666666666668,1800,1080
'13389730', 'CSV-284', 'https://issues.apache.org/jira/rest/api/2/issue/13389730',2021-07-15T01:14:48.000+0000, '2021-07-15T01:14:48.000+0000',0.0,3000,887
'13290485', 'PHOENIX-5761', 'https://issues.apache.org/jira/rest/api/2/issue/13290485',2020-03-09T12:20:47.000+0000, '2020-03-09T09:08:47.000+0000',0.13333333333333333,1200,530
'13239807', 'DOXIASITETOOLS-207', 'https://issues.apache.org/jira/rest/api/2/issue/13239807',2019-06-16T16:12:42.000+0000, '2019-06-16T16:12:42.000+0000',0.0,1200,884
'13409699', 'SM-4934', 'https://issues.apache.org/jira/rest/api/2/issue/13409699',2021-11-02T15:35:25.000+0000, '2021-11-02T15:35:25.000+0000',0.0,2400,1501
'13258215', 'JDKIM-44', 'https://issues.apache.org/jira/rest/api/2/issue/13258215',2019-09-23T15:17:56.000+0000, '2019-09-23T04:05:56.000+0000',0.4666666666666667,1200,659
'13186113', 'HELIX-752', 'https://issues.apache.org/jira/rest/api/2/issue/13186113',2018-09-30T11:25:32.000+0000, '2018-09-19T17:49:32.000+0000',10.733333333333333,600,116
'13094185', 'REEF-1864', 'https://issues.apache.org/jira/rest/api/2/issue/13094185',2017-08-15T23:02:46.000+0000, '2017-08-11T19:50:46.000+0000',4.133333333333334,1209600,261
'13290303', 'ROL-2161', 'https://issues.apache.org/jira/rest/api/2/issue/13290303',2020-03-08T03:19:51.000+0000, '2020-03-07T14:31:51.000+0000',0.5333333333333333,1200,193
'13112946', 'POLYGENE-276', 'https://issues.apache.org/jira/rest/api/2/issue/13112946',2017-10-30T05:52:38.000+0000, '2017-10-30T05:52:38.000+0000',0.0,7200,1293
'13112801', 'OFBIZ-9908', 'https://issues.apache.org/jira/rest/api/2/issue/13112801',2017-12-02T15:58:04.000+0000, '2017-10-28T11:10:04.000+0000',35.2,259200,462
