id,key,self,resolutiondate,created,resolutiontime,timespent,titlelength,commentlength,percent_tone,percent_relevance
'13205143', 'DISPATCH-1225', 'https://issues.apache.org/jira/rest/api/2/issue/13205143',2018-12-18T22:39:09.000+0000, '2018-12-18T14:39:09.000+0000',0.3333333333333333,1200,26.0726197255326,191,0.0,4.02721326454107
'13068059', 'CARBONDATA-1004', 'https://issues.apache.org/jira/rest/api/2/issue/13068059',2017-05-01T05:00:35.000+0000, '2017-05-01T01:48:35.000+0000',0.13333333333333333,3000,38.5959953047658,146,0.0,2.15048217683225
'13163181', 'ARIES-1805', 'https://issues.apache.org/jira/rest/api/2/issue/13163181',2018-05-31T15:18:11.000+0000, '2018-05-31T15:18:11.000+0000',0.0,600,46.9119422334545,1443,0.0,3.1974800628278
'13270340', 'CODEC-270', 'https://issues.apache.org/jira/rest/api/2/issue/13270340',2019-11-25T03:34:17.000+0000, '2019-11-24T22:46:17.000+0000',0.2,1200,61.2989158526404,1152,0.0,1.56609621336174
'12923646', 'HADOOP-12665', 'https://issues.apache.org/jira/rest/api/2/issue/12923646',2016-05-05T07:34:55.000+0000, '2015-12-22T02:46:55.000+0000',135.2,4200,67.137975543581,74,0.0,0.878787296195751
'13005220', 'ACCUMULO-4459', 'https://issues.apache.org/jira/rest/api/2/issue/13005220',2016-09-15T17:05:06.000+0000, '2016-09-15T17:05:06.000+0000',0.0,4200,51.9382217584674,112,0.0,1.02044309962074
'13434896', 'FTPSERVER-509', 'https://issues.apache.org/jira/rest/api/2/issue/13434896',2022-03-22T22:05:12.000+0000, '2022-03-21T12:29:12.000+0000',1.4,1200,23.8571906685572,28,0.0,1.08981817520815
'13140739', 'AMQ-6904', 'https://issues.apache.org/jira/rest/api/2/issue/13140739',2018-04-07T20:20:49.000+0000, '2018-02-24T18:44:49.000+0000',42.06666666666667,600,49.2380527247286,483,0.0,2.09187801507574
'13146917', 'BIGTOP-3015', 'https://issues.apache.org/jira/rest/api/2/issue/13146917',2018-04-30T01:35:40.000+0000, '2018-03-21T17:35:40.000+0000',39.333333333333336,600,41.9811465827713,222,0.0,2.02471840144745
'13288973', 'CODEC-286', 'https://issues.apache.org/jira/rest/api/2/issue/13288973',2020-04-19T12:02:24.000+0000, '2020-03-02T18:26:24.000+0000',47.733333333333334,600,44.9344324881342,187,0.0,0.756658048568396
'13129476', 'AMQ-6883', 'https://issues.apache.org/jira/rest/api/2/issue/13129476',2018-04-19T19:15:27.000+0000, '2018-01-09T09:39:27.000+0000',100.4,1200,68.5037472492589,730,0.0,1.4013831922317
'12933326', 'AMBARI-14772', 'https://issues.apache.org/jira/rest/api/2/issue/12933326',2016-01-23T21:50:02.000+0000, '2016-01-22T12:14:02.000+0000',1.4,172800,46.8623388132375,328,0.0,0.768207496929942
'12990699', 'APEXMALHAR-2161', 'https://issues.apache.org/jira/rest/api/2/issue/12990699',2016-07-20T17:00:20.000+0000, '2016-07-19T09:00:20.000+0000',1.3333333333333333,28800,43.4184450698398,56,0.0,1.17461599368575
'13068687', 'CARBONDATA-1017', 'https://issues.apache.org/jira/rest/api/2/issue/13068687',2017-05-06T02:19:58.000+0000, '2017-05-03T08:43:58.000+0000',2.7333333333333334,46200,44.1877803113419,197,0.0,2.08202356741567
'12929010', 'AMBARI-14600', 'https://issues.apache.org/jira/rest/api/2/issue/12929010',2016-01-10T15:39:45.000+0000, '2016-01-10T15:39:45.000+0000',0.0,259200,34.346243420922,990,0.0,1.97983806166638
'12954479', 'CALCITE-1178', 'https://issues.apache.org/jira/rest/api/2/issue/12954479',2016-06-22T19:48:25.000+0000, '2016-03-30T00:36:25.000+0000',84.8,1200,79.7466283946673,317,0.0,1.26651122477742
'13213038', 'COMPRESS-479', 'https://issues.apache.org/jira/rest/api/2/issue/13213038',2019-02-13T15:14:51.000+0000, '2019-01-31T10:26:51.000+0000',13.2,2400,68.0213505262964,1527,0.0,1.82295704276061
